slice_id,mae,mse,psnr,ssim,lpips
YG_2LEC0G5PJYWI_6_7_z078,0.05367735028266907,0.010733184404671192,19.69271386886778,0.609601067223978,0.30472978949546814
YG_2LEC0G5PJYWI_6_7_z081,0.05267177149653435,0.011017420329153538,19.57920088439354,0.6115397339968559,0.26395174860954285
YG_2LEC0G5PJYWI_6_7_z084,0.07842674851417542,0.018143750727176666,17.41272896426525,0.5445578444777788,0.332242488861084
YG_2LEC0G5PJYWI_6_7_z087,0.05425893887877464,0.010356688871979713,19.84779059249894,0.5780785267764604,0.3159077763557434
YG_2LEC0G5PJYWI_6_7_z090,0.05018892139196396,0.008355842903256416,20.7800969883702,0.5893824977813981,0.30229121446609497
YG_2LEC0G5PJYWI_6_7_z093,0.056876931339502335,0.009683557786047459,20.13965085994618,0.6072487778477809,0.31036123633384705
YG_2LEC0G5PJYWI_6_7_z096,0.08716129511594772,0.019004685804247856,17.211392708129605,0.40718804755877663,0.4421173930168152
YG_2LEC0G5PJYWI_6_7_z099,0.05895095691084862,0.009985021315515041,20.00651024079778,0.6367696733048266,0.27285176515579224
YG_2LEC0G5PJYWI_6_7_z102,0.047633811831474304,0.008118023164570332,20.90549694455185,0.6477314182457584,0.2292594611644745
YG_2LEC0G5PJYWI_6_7_z105,0.06677328795194626,0.012854008935391903,18.909614302342167,0.5633425609612205,0.3059214949607849
YG_2LEC0G5PJYWI_6_7_z108,0.06370989233255386,0.011508962139487267,19.389638283284643,0.5964785019474952,0.3135581910610199
YG_2LEC0G5PJYWI_6_7_z111,0.06984985619783401,0.013084029778838158,18.83258498149305,0.47237085689988895,0.4255518913269043
YG_2LEC0G5PJYWI_6_7_z114,0.040577974170446396,0.006497049238532782,21.872838842628667,0.6771651828177224,0.26964718103408813
YG_2LEC0G5PJYWI_6_7_z117,0.0587674044072628,0.009894699789583683,20.045974239711125,0.5236762937181193,0.4360189437866211
YG_2LEC0G5PJYWI_6_7_z120,0.046952687203884125,0.007978077977895737,20.981017428158925,0.6696910218731346,0.2693696618080139
YG_2LEC0G5PJYWI_6_7_z123,0.04085749387741089,0.00610703369602561,22.141696755226526,0.6800789869453853,0.25364241003990173
YG_2LEC0G5PJYWI_6_7_z126,0.05425349250435829,0.009739683009684086,20.11455216030474,0.6015661334861401,0.3449270725250244
YG_2LEC0G5PJYWI_6_7_z129,0.03838281333446503,0.006090161856263876,22.153711582837484,0.669343590240155,0.32393932342529297
YG_2LEC0G5PJYWI_6_7_z132,0.04369579628109932,0.007268316578119993,21.38566181604962,0.6259955603592448,0.3743630051612854
YG_2LEC0G5PJYWI_7_8_z075,0.06478913128376007,0.014421981759369373,18.409750862698665,0.6172033512268786,0.29483839869499207
YG_2LEC0G5PJYWI_7_8_z078,0.06591270864009857,0.01616271771490574,17.914856525068124,0.6138319242957304,0.2710658311843872
YG_2LEC0G5PJYWI_7_8_z081,0.06428849697113037,0.01252022571861744,19.02387856771968,0.6157928308685495,0.283572793006897
YG_2LEC0G5PJYWI_7_8_z084,0.055865105241537094,0.01041165366768837,19.824803003630667,0.6427906900884448,0.2418043315410614
YG_2LEC0G5PJYWI_7_8_z087,0.06546422094106674,0.011829350143671036,19.27039111623301,0.5887442062759539,0.3209744691848755
